vendor_name,vendor_id,bank_account,invoice_number,invoice_date,due_date,unit_price,quantity,total_amount,tax_amount,payment_terms,department,approver_name,fraud,is_duplicate,days_to_due,weekend_submission,amount_threshold_proximity,line_item_price_consistency
Nguyen-Taylor,V029,BZWE10885457013930,INV-47009,2025-12-19,2026-01-03,1830,6,10980,1976.4,15,HR,James Lopez,0,0,15,0,89020,1
Torres and Sons,V020,DVFV81185613007070,INV-35907,2026-03-23,2026-04-07,4093,15,61395,11051.1,15,Operations,Tamara Mills,0,0,15,0,38605,1
"Werner, Arnold and Fisher",V036,ZQNK99111108809212,INV-38765,2025-08-17,2025-09-01,804,5,4020,723.6,15,Operations,Steven Munoz,0,0,15,1,95980,1
"Morrow, Robertson and Lynch",V025,BRAK04053397857703,INV-35504,2025-07-29,2025-09-12,2227,12,26724,4810.32,45,Operations,Clinton Lane,0,0,45,0,73276,1
Hood and Sons,V045,TNBH92909074310244,INV-68907,2026-04-13,2026-05-13,1572,16,25152,4527.36,30,Finance,Kayla House,0,0,30,0,74848,1
Richards PLC,V047,FCZB61617542457441,INV-80227,2025-09-21,2025-10-06,4676,15,70140,12625.2,15,HR,Elizabeth Mcdaniel,0,0,15,1,29860,1
Weeks-Dodson,V046,DARJ85004085298813,INV-75928,2026-04-24,2026-06-08,3235,3,9705,1746.9,45,Procurement,James Martin,0,0,45,0,90295,1
"Cruz, Green and Flynn",V040,JYDI50024167279497,INV-88140,2026-01-30,2026-03-31,463,11,5093,916.74,60,HR,Michelle Le,0,0,60,0,94907,1
Bass and Sons,V027,RTHZ02748224969232,INV-89981,2025-09-24,2025-10-09,4228,7,29596,5327.28,15,HR,Christina Clarke,0,0,15,0,70404,1
Holt Inc,V043,XELM87642832895444,INV-80496,2025-08-14,2025-09-28,2758,10,27580,4964.4,45,IT,Anthony Hunt,0,0,45,0,72420,1
"Morrow, Robertson and Lynch",V025,OQXU97703997845600,INV-15881,2026-04-28,2026-05-28,4753,1,4753,855.54,30,HR,Robin Becker DDS,0,0,30,0,95247,1
"Bolton, Fischer and Andersen",V028,DRJD20087652575047,INV-15207,2026-03-30,2026-04-14,819,14,11466,2063.88,15,Procurement,Rebecca Cole,0,0,15,0,88534,1
Galvan Group,V044,MJSK84722673861810,INV-30755,2026-01-21,2026-02-05,501,5,2505,450.9,15,Operations,William Garcia,0,0,15,0,97495,1
"Cruz, Green and Flynn",V040,HQAR84078713185065,INV-55902,2025-12-22,2026-02-05,1466,2,2932,527.76,45,IT,Nicholas Harrell,0,0,45,0,97068,1
Richards PLC,V047,CCXL78912550243666,INV-72276,2025-07-27,2025-09-25,2999,13,38987,7017.66,60,IT,Jay Harmon,0,0,60,1,61013,1
Martin-Matthews,V010,QJKZ99394020245016,INV-16209,2025-08-12,2025-09-11,1295,20,25900,4662.0,30,HR,Carla Bell,0,0,30,0,74100,1
"Mckinney, Martinez and Chavez",V007,STKU05666667219723,INV-51951,2026-04-11,2026-06-10,3788,16,60608,10909.44,60,Finance,Lisa Howard,0,0,60,1,39392,1
Huerta-Carr,V015,JUYB46087088994499,INV-24106,2025-11-12,2026-01-11,1434,10,14340,2581.2,60,IT,Thomas Greer,0,0,60,0,85660,1
"Rodriguez, Acosta and Le",V017,GMBW88375759264030,INV-51182,2025-10-04,2025-11-03,567,4,2268,408.24,30,HR,Andrea Stephens,0,0,30,1,97732,1
Perry-Conway,V014,IAUJ45695344270523,INV-89401,2025-12-19,2026-02-17,4365,1,4365,785.6999999999999,60,Procurement,Morgan Jenkins,0,0,60,0,95635,1
Thomas-Padilla,V024,YYKL74186063315837,INV-31178,2026-03-11,2026-04-25,2840,19,53960,9712.8,45,Operations,Lori Kirk,0,0,45,0,46040,1
Conway-Wilson,V033,UHCZ28569839775050,INV-39987,2025-07-06,2025-08-05,586,15,8790,1582.2,30,IT,Tina Simmons,0,0,30,1,91210,1
"Adams, Hall and Bowman",V030,IXMS40273578753886,INV-42381,2025-08-03,2025-10-02,4853,6,29118,5241.24,60,Finance,Joshua Garcia,0,0,60,1,70882,1
Johnson-Peterson,V001,WWUR76365862593328,INV-23798,2025-12-05,2026-01-19,4271,5,21355,3843.9,45,Operations,Jose Mclaughlin,0,0,45,0,78645,1
Bass and Sons,V027,ILSV24570852466051,INV-64932,2026-02-05,2026-04-06,344,6,2064,371.52,60,Finance,Richard Harrison,0,0,60,0,97936,1
"Rice, Holloway and Kim",V019,ZGRL35001773250691,INV-90272,2025-11-29,2025-12-14,2779,20,55580,10004.4,15,Procurement,Ashley Wright,0,0,15,1,44420,1
Carter-Young,V048,ZBTH29630540857155,INV-85373,2025-09-16,2025-10-31,1071,12,12852,2313.36,45,IT,Angela Coleman,0,0,45,0,87148,1
"Jones, Clark and Singh",V016,YBDJ30046560351289,INV-50012,2025-10-19,2025-12-03,2851,3,8553,1539.54,45,Operations,Deanna Steele,0,0,45,1,91447,1
Weeks-Dodson,V046,XVGS43053360447395,INV-37132,2025-10-30,2025-12-14,3474,11,38214,6878.52,45,IT,Sabrina Parrish,0,0,45,0,61786,1
Torres and Sons,V020,NUTM31320162641283,INV-96953,2025-06-28,2025-07-13,4949,12,59388,10689.84,15,IT,Sierra Joseph,0,0,15,1,40612,1
"Ward, Barrett and Johnson",V023,VKKI35965395667565,INV-61071,2026-06-03,2026-06-18,3528,5,17640,3175.2,15,Finance,Michele Tran,0,0,15,0,82360,1
"Silva, Hahn and Benson",V013,OCTM38951695594795,INV-33171,2025-11-28,2026-01-27,3950,4,15800,2844.0,60,IT,Matthew Perez,0,0,60,0,84200,1
Huerta-Carr,V015,XVMC57437985857331,INV-29187,2026-01-06,2026-01-21,4829,18,86922,15645.96,15,Operations,Nicole Sanders,0,0,15,0,13078,1
Hull-Hernandez,V041,EUWD06120820266636,INV-84813,2025-11-21,2025-12-06,2693,19,51167,9210.06,15,Procurement,Lisa Mosley,0,0,15,0,48833,1
Richards PLC,V047,OYAS86777387776842,INV-26998,2025-07-11,2025-08-25,686,4,2744,493.92,45,IT,Andrea Estrada,0,0,45,0,97256,1
"Berry, Baker and Ellis",V004,QANU24000799282017,INV-35893,2025-07-04,2025-07-19,3807,14,53298,9593.64,15,HR,Karen Hawkins,0,0,15,0,46702,1
"Bolton, Fischer and Andersen",V028,JGAA20323839187640,INV-49266,2026-05-31,2026-07-30,1764,7,12348,2222.64,60,HR,Rebecca Browning,0,0,60,1,87652,1
Larsen-Jones,V022,AOVQ19007593958531,INV-60233,2026-01-23,2026-02-22,4119,18,74142,13345.56,30,HR,Crystal Warner,0,0,30,0,25858,1
Torres and Sons,V020,KTZZ46927394836904,INV-95655,2026-03-02,2026-03-17,1162,16,18592,3346.56,15,Finance,Grace Cole,0,0,15,0,81408,1
Perry-Conway,V014,JULT15246342395086,INV-36858,2026-03-09,2026-03-24,569,5,2845,512.1,15,Operations,Gregory Carter,0,0,15,0,97155,1
Olsen-Richard,V003,XODV24000892930003,INV-55154,2026-05-20,2026-06-04,2519,13,32747,5894.46,15,Operations,Rebecca Johnson,0,0,15,0,67253,1
"Robbins, Hughes and Johnson",V006,GHPA84584750648998,INV-19012,2025-06-07,2025-07-22,3636,7,25452,4581.36,45,Finance,Chad Freeman,0,0,45,1,74548,1
Thompson Group,V032,RNOD42726136533269,INV-77829,2026-03-20,2026-05-19,2949,9,26541,4777.38,60,Operations,Trevor Peterson,0,0,60,0,73459,1
Conway-Wilson,V033,DXCW69719858189971,INV-47024,2026-04-09,2026-06-08,2273,17,38641,6955.38,60,Finance,David Smith,0,0,60,0,61359,1
"Rodriguez, Acosta and Le",V017,IDPS12812717150895,INV-85501,2025-08-14,2025-08-29,863,17,14671,2640.78,15,Procurement,Julia Davis,0,0,15,0,85329,1
"Morrow, Robertson and Lynch",V025,GIHC03848497335990,INV-10992,2025-09-18,2025-11-17,1690,8,13520,2433.6,60,IT,Melissa Shannon,0,0,60,0,86480,1
"Quinn, Bell and Martinez",V035,OGBX21823491151197,INV-56034,2026-01-03,2026-02-17,2711,3,8133,1463.94,45,Finance,Hector Jackson,0,0,45,1,91867,1
Johnson-Peterson,V001,AGAC58253381744820,INV-99962,2026-04-13,2026-05-28,1371,1,1371,246.78,45,Procurement,David King,0,0,45,0,98629,1
"Rice, Holloway and Kim",V019,OCAV62068991251908,INV-54873,2026-04-11,2026-05-26,415,13,5395,971.1,45,Finance,Sherri Clark,0,0,45,1,94605,1
Cherry-Stewart,V018,EZZM25385589773172,INV-69943,2025-06-12,2025-07-27,647,7,4529,815.2199999999999,45,Operations,Joseph Jones,0,0,45,0,95471,1
"Moreno, Bryant and Travis",V026,NXHS36527517551887,INV-69532,2026-04-05,2026-04-20,2556,16,40896,7361.28,15,Procurement,Ryan Small,0,0,15,1,59104,1
Bass and Sons,V027,SCYG69442206627313,INV-55333,2026-05-03,2026-06-02,1190,16,19040,3427.2,30,Finance,Linda Griffin,0,0,30,1,80960,1
Smith-Haynes,V008,NSYO06234521126054,INV-61567,2025-06-26,2025-07-26,1208,1,1208,217.44,30,Operations,Edwin Adams,0,0,30,0,98792,1
Walker Ltd,V005,UVCT55397255120643,INV-32670,2025-12-04,2026-02-02,829,12,9948,1790.64,60,Operations,Amy Davila,0,0,60,0,90052,1
Rivera and Sons,V038,HJHY13683756291819,INV-56396,2025-11-14,2025-12-29,3711,1,3711,667.98,45,Operations,Kyle Ward,0,0,45,0,96289,1
Torres-Cohen,V002,ILIU18281979028672,INV-65200,2025-09-22,2025-10-07,2947,12,35364,6365.52,15,HR,Andrew Melendez,0,0,15,0,64636,1
Holt Inc,V043,FIHA39368063759968,INV-77030,2026-01-25,2026-03-11,1112,14,15568,2802.24,45,IT,Megan Wright,0,0,45,1,84432,1
Torres and Sons,V020,CNNU66500681473798,INV-82918,2026-01-26,2026-03-27,4941,3,14823,2668.14,60,Procurement,Barbara Lynn,0,0,60,0,85177,1
Olsen-Richard,V003,RTPM08986266335802,INV-19535,2025-06-23,2025-08-07,3710,8,29680,5342.4,45,IT,Frank Gilbert,0,0,45,0,70320,1
Hood and Sons,V045,FQLM08095582413760,INV-29488,2026-04-24,2026-05-24,4289,16,68624,12352.32,30,Finance,James Barry,0,0,30,0,31376,1
"Robbins, Hughes and Johnson",V006,QDJL95496089034012,INV-43851,2025-08-07,2025-08-22,642,7,4494,808.92,15,Procurement,Dr. Karen Martin,0,0,15,0,95506,1
Ramos-Brown,V034,UWMT30949043055384,INV-68822,2025-08-20,2025-09-19,464,6,2784,501.12,30,Operations,Randall Barker,0,0,30,0,97216,1
Conway-Wilson,V033,FXML87373571484872,INV-90818,2025-06-28,2025-07-28,4041,13,52533,9455.94,30,Operations,Todd Torres,0,0,30,1,47467,1
"Moreno, Bryant and Travis",V026,PRNY65228291639966,INV-67315,2026-04-25,2026-05-10,4119,20,82380,14828.4,15,IT,Nicholas Farrell,0,0,15,1,17620,1
"Adams, Hall and Bowman",V030,IJBM33627870757048,INV-15753,2025-09-19,2025-10-19,3584,2,7168,1290.24,30,Procurement,Troy Patel,0,0,30,0,92832,1
"Adams, Hall and Bowman",V030,YIUI64760182136665,INV-82627,2026-02-03,2026-04-04,1073,7,7511,1351.98,60,Operations,Christina Gilbert,0,0,60,0,92489,1
Carter-Young,V048,SWYK50816723082936,INV-44203,2026-04-28,2026-05-28,4198,8,33584,6045.12,30,IT,Teresa Weber,0,0,30,0,66416,1
"Moreno, Bryant and Travis",V026,AMPI62132282668661,INV-71034,2026-03-31,2026-04-15,1459,17,24803,4464.54,15,HR,Amber Dorsey,0,0,15,0,75197,1
Franklin-Bailey,V021,MRPR81707439631176,INV-51748,2025-10-27,2025-12-11,2991,13,38883,6998.94,45,IT,Victor Jordan,0,0,45,0,61117,1
"Cruz, Green and Flynn",V040,IBHL58380105996140,INV-65402,2026-01-23,2026-02-07,1355,18,24390,4390.2,15,IT,Martin Perez,0,0,15,0,75610,1
Weeks-Dodson,V046,SMEJ70956453537423,INV-83083,2025-07-02,2025-08-31,3715,6,22290,4012.2,60,HR,Julian Richardson,0,0,60,0,77710,1
"Pruitt, Moreno and Carter",V031,QDSW46723294252623,INV-54299,2025-07-07,2025-07-22,395,10,3950,711.0,15,Finance,Daniel Schroeder,0,0,15,0,96050,1
"Morrow, Robertson and Lynch",V025,XGTS31163267224194,INV-19515,2025-06-08,2025-06-23,603,1,603,108.54,15,Operations,Derrick Dixon,0,0,15,1,99397,1
Weeks-Dodson,V046,LDGY17375462496597,INV-79760,2026-02-04,2026-03-06,2458,16,39328,7079.04,30,HR,Matthew Poole,0,0,30,0,60672,1
Roberts-Hunt,V037,KFID28342628055590,INV-31454,2025-09-13,2025-10-28,2313,6,13878,2498.04,45,Operations,Lisa Kerr,0,0,45,1,86122,1
Smith LLC,V011,UDJJ74283146964346,INV-71862,2025-12-28,2026-02-26,742,20,14840,2671.2,60,HR,Julie Johnson,0,0,60,1,85160,1
Thompson Group,V032,WGTN70749135549487,INV-25018,2025-11-29,2025-12-29,3355,13,43615,7850.7,30,IT,Ashley Arias,0,0,30,1,56385,1
Rivera and Sons,V038,LWGD20260674737296,INV-95382,2025-08-27,2025-09-26,1690,10,16900,3042.0,30,Procurement,Jill Hodges,0,0,30,0,83100,1
Carter-Young,V048,WWPI94009547267241,INV-87295,2026-03-20,2026-05-19,3743,15,56145,10106.1,60,IT,Michelle Martinez,0,0,60,0,43855,1
Franklin-Bailey,V021,UQKZ38340623996993,INV-89839,2025-07-16,2025-08-30,4751,2,9502,1710.36,45,Procurement,Meredith Willis,0,0,45,0,90498,1
Torres and Sons,V020,FNPM21463908624872,INV-69624,2025-06-27,2025-08-11,2386,15,35790,6442.2,45,HR,Victoria Coleman,0,0,45,0,64210,1
Olsen-Richard,V003,VMCM31411350548409,INV-10401,2025-10-07,2025-11-21,519,13,6747,1214.46,45,Operations,Nichole Gallegos,0,0,45,0,93253,1
"Duran, Walsh and Murphy",V039,SPRB96002046539331,INV-16937,2025-12-01,2026-01-30,3522,4,14088,2535.84,60,Finance,Melissa Martin,0,0,60,0,85912,1
"Johnston, Martinez and Lowery",V049,AQLO00643206015863,INV-73978,2025-07-13,2025-07-28,1200,6,7200,1296.0,15,HR,Adam Gonzalez,0,0,15,1,92800,1
"Ward, Barrett and Johnson",V023,CLQD53809090305028,INV-38830,2025-07-23,2025-08-22,4680,18,84240,15163.2,30,Operations,Robert Carrillo,0,0,30,0,15760,1
Cherry-Stewart,V018,XUZZ70741673268482,INV-58554,2025-09-10,2025-09-25,3769,14,52766,9497.88,15,HR,Kristine Ross,0,0,15,0,47234,1
Hull-Hernandez,V041,BMNW87914468998302,INV-23996,2025-08-16,2025-10-15,3002,8,24016,4322.88,60,Operations,Melissa Williams,0,0,60,1,75984,1
Nguyen-Taylor,V029,ZLYO75020858656197,INV-34854,2025-09-13,2025-10-28,272,20,5440,979.2,45,Procurement,Melissa Miller,0,0,45,1,94560,1
Olsen-Richard,V003,DJQM95428871083905,INV-29342,2025-12-23,2026-01-22,431,7,3017,543.06,30,Finance,Tanner Simpson,0,0,30,0,96983,1
"Ward, Barrett and Johnson",V023,BENO82313927789819,INV-21486,2025-07-19,2025-08-18,2413,7,16891,3040.38,30,IT,Amanda Jones,0,0,30,1,83109,1
Roberts-Hunt,V037,JPEI12048241997296,INV-90477,2026-04-07,2026-05-22,1739,3,5217,939.06,45,HR,Carlos Fernandez,0,0,45,0,94783,1
Roberts-Hunt,V037,UYZU89729206019545,INV-35531,2025-09-19,2025-11-03,2333,12,27996,5039.28,45,IT,Matthew Cruz,0,0,45,0,72004,1
Carter-Young,V048,EPHJ82329390208055,INV-11403,2025-12-15,2025-12-30,1560,4,6240,1123.2,15,Operations,Debra Reed,0,0,15,0,93760,1
Hood and Sons,V045,NDBQ30311084909968,INV-82181,2026-03-01,2026-03-31,4390,1,4390,790.1999999999999,30,HR,Anthony Vasquez,0,0,30,1,95610,1
Thomas-Padilla,V024,VDUO07556047000014,INV-65154,2026-05-07,2026-06-06,4832,10,48320,8697.6,30,Finance,Danny Lucas,0,0,30,0,51680,1
Williams-Rios,V012,UAIM61529761476696,INV-38293,2025-06-14,2025-07-29,795,10,7950,1431.0,45,HR,Jeremy Thompson,0,0,45,1,92050,1
Thomas-Padilla,V024,XHLZ34724836930930,INV-20264,2026-01-08,2026-02-07,2041,4,8164,1469.52,30,Operations,April Skinner,0,0,30,0,91836,1
Galvan Group,V044,EBNQ49501635106413,INV-40705,2025-06-27,2025-08-11,2032,18,36576,6583.679999999999,45,HR,Debbie Hall,0,0,45,0,63424,1
"Berry, Baker and Ellis",V004,DIIN21840812244437,INV-13941,2026-04-15,2026-05-30,4417,4,17668,3180.24,45,Finance,Sandra Garrett,0,0,45,0,82332,1
Campos-Lutz,V042,PWIL60484174836515,INV-81994,2026-01-06,2026-02-05,3656,14,51184,9213.12,30,IT,Christopher Green,0,0,30,0,48816,1
Thompson Group,V032,JCQI98824618309815,INV-32533,2026-04-13,2026-06-12,4183,4,16732,3011.76,60,Procurement,Tiffany James,0,0,60,0,83268,1
"Werner, Arnold and Fisher",V036,KCZU89326385161734,INV-19658,2025-10-09,2025-10-24,1308,4,5232,941.76,15,Finance,Joseph Howell,0,0,15,0,94768,1
Payne-Baker,V050,SARC26720211004683,INV-17811,2025-11-12,2025-12-27,2917,13,37921,6825.78,45,Finance,Christopher Potter DDS,0,0,45,0,62079,1
Richards PLC,V047,KTMN76848140880106,INV-20308,2026-04-30,2026-05-30,4539,14,63546,11438.28,30,Operations,Thomas Miller,0,0,30,0,36454,1
Nguyen-Taylor,V029,REDN67164013978469,INV-91352,2026-01-18,2026-02-17,3681,18,66258,11926.44,30,IT,Kayla Mann,0,0,30,1,33742,1
Larsen-Jones,V022,VNPV76989129520267,INV-12441,2025-12-13,2026-01-27,1266,16,20256,3646.08,45,Finance,Jeffrey Caldwell,0,0,45,1,79744,1
"Berry, Baker and Ellis",V004,MZEF93175044578923,INV-28047,2026-05-03,2026-05-18,1317,4,5268,948.24,15,Operations,Lisa Gates,0,0,15,1,94732,1
Conway-Wilson,V033,KNWU73822391521374,INV-81262,2025-07-10,2025-08-24,820,13,10660,1918.8,45,HR,Darren Reeves,0,0,45,0,89340,1
"Pruitt, Moreno and Carter",V031,LEYO16473134401343,INV-17651,2025-07-09,2025-07-24,2243,16,35888,6459.84,15,HR,Michelle Chavez,0,0,15,0,64112,1
"Werner, Arnold and Fisher",V036,PUHB12531078273070,INV-90806,2025-11-25,2026-01-24,4192,8,33536,6036.48,60,HR,Lisa Adams,0,0,60,0,66464,1
Hull-Hernandez,V041,YTPJ22220630272641,INV-73431,2026-05-01,2026-05-16,1009,11,11099,1997.82,15,Procurement,Kevin Brooks,0,0,15,0,88901,1
"Ward, Barrett and Johnson",V023,NPPE29555872827193,INV-15321,2026-01-26,2026-03-27,617,17,10489,1888.02,60,HR,Michael Hicks,0,0,60,0,89511,1
Roberts-Hunt,V037,VTZU23465429704073,INV-39673,2026-01-28,2026-02-27,494,2,988,177.84,30,HR,Anthony Cooper,0,0,30,0,99012,1
"Ward, Barrett and Johnson",V023,TNCH90744179927542,INV-87419,2025-11-08,2025-12-23,3091,17,52547,9458.46,45,Finance,Spencer Myers,0,0,45,1,47453,1
"Pruitt, Moreno and Carter",V031,XVIY49422061411536,INV-64136,2026-03-06,2026-03-21,3351,11,36861,6634.98,15,HR,Stacey Spencer,0,0,15,0,63139,1
Holt Inc,V043,YHFK48759169180051,INV-41521,2025-11-26,2026-01-25,4566,4,18264,3287.52,60,Finance,Vanessa Stone,0,0,60,0,81736,1
"Quinn, Bell and Martinez",V035,SVTN44060793772031,INV-36662,2025-09-14,2025-11-13,946,16,15136,2724.48,60,IT,Shannon Knox,0,0,60,1,84864,1
"Duran, Walsh and Murphy",V039,IHTQ44972234270017,INV-83519,2025-06-30,2025-08-29,4678,17,79526,14314.68,60,Operations,Aaron Hoover,0,0,60,0,20474,1
Mueller-Burke,V009,SDSE63992699740959,INV-38695,2026-02-24,2026-04-25,689,16,11024,1984.32,60,IT,Kevin Harper,0,0,60,0,88976,1
"Morrow, Robertson and Lynch",V025,MSWY34945786097748,INV-75405,2025-10-28,2025-11-27,212,20,4240,763.1999999999999,30,Operations,Christina Nelson,0,0,30,0,95760,1
"Bolton, Fischer and Andersen",V028,IKSM03367690976823,INV-71042,2026-01-02,2026-02-16,638,16,10208,1837.44,45,IT,Amanda Edwards,0,0,45,0,89792,1
Roberts-Hunt,V037,VZAA62072964065904,INV-29134,2025-09-24,2025-10-09,3614,20,72280,13010.4,15,IT,Brittney Simpson,0,0,15,0,27720,1
Cherry-Stewart,V018,VQOA93378199232120,INV-17960,2026-01-04,2026-02-03,3156,10,31560,5680.8,30,Finance,Emily Smith,0,1,30,1,68440,1
Perry-Conway,V014,FPWC94287332584404,INV-69375,2026-05-08,2026-06-07,1403,5,7015,1262.7,30,Procurement,Patricia Smith,0,0,30,0,92985,1
Weeks-Dodson,V046,HGNN24724698279674,INV-99428,2025-09-05,2025-10-20,1005,9,9045,1628.1,45,Operations,John Moreno,0,0,45,0,90955,1
Campos-Lutz,V042,YBHY77919901186460,INV-13879,2026-05-06,2026-07-05,181,13,2353,423.54,60,Finance,Michael Zavala,0,0,60,0,97647,1
Conway-Wilson,V033,FSCP95891217667008,INV-52357,2025-09-06,2025-11-05,2810,4,11240,2023.2,60,Operations,Joshua Guerrero,0,0,60,1,88760,1
Nguyen-Taylor,V029,ZPZP84521797944299,INV-22719,2026-01-10,2026-03-11,1340,13,17420,3135.6,60,Operations,Danielle Wiggins,0,0,60,1,82580,1
"Berry, Baker and Ellis",V004,SNSL69936212474469,INV-34745,2025-09-07,2025-09-22,999,11,10989,1978.02,15,IT,Kristen Ferguson,0,0,15,1,89011,1
"Silva, Hahn and Benson",V013,FGJW25699951230980,INV-59145,2026-01-10,2026-01-25,3648,8,29184,5253.12,15,Finance,Brett Jackson,0,0,15,1,70816,1
Carter-Young,V048,RYLD56901113820176,INV-55240,2026-02-20,2026-03-22,3630,4,14520,2613.6,30,IT,Christine Taylor,0,0,30,0,85480,1
Mueller-Burke,V009,VYYJ36642363837330,INV-90967,2026-05-16,2026-07-15,1103,2,2206,397.08,60,Procurement,Lauren Ayala,0,0,60,1,97794,1
"Moreno, Bryant and Travis",V026,HAZB43752102848423,INV-54007,2026-03-29,2026-05-28,567,15,8505,1530.9,60,HR,Jason Moody,0,0,60,1,91495,1
Perry-Conway,V014,SPFQ04383635423564,INV-49009,2026-05-11,2026-07-10,202,6,1212,218.16,60,HR,Alan Williams,0,0,60,0,98788,1
Walker Ltd,V005,XMPE90469020130791,INV-43714,2026-05-10,2026-06-09,916,6,5496,989.28,30,HR,Melanie Garza,0,0,30,1,94504,1
Torres and Sons,V020,VPFJ63479377159415,INV-12652,2025-09-17,2025-11-16,1387,11,15257,2746.26,60,Finance,Frederick Alvarez,0,0,60,0,84743,1
"Moreno, Bryant and Travis",V026,CKUP89050464725882,INV-26182,2025-07-06,2025-07-21,1753,4,7012,1262.16,15,Procurement,Mary Castillo,0,0,15,1,92988,1
Olsen-Richard,V003,WATC73031134872925,INV-89921,2026-06-05,2026-08-04,123,4,492,88.56,60,Operations,Elizabeth Patrick,0,0,60,0,99508,1
Mueller-Burke,V009,HRUA89554777641167,INV-79402,2026-05-05,2026-07-04,2653,9,23877,4297.86,60,Operations,Megan Cunningham,0,0,60,0,76123,1
Payne-Baker,V050,VIHX11466894137661,INV-46557,2026-01-23,2026-02-07,508,11,5588,1005.84,15,Procurement,Brenda Walker,0,0,15,0,94412,1
"Rodriguez, Acosta and Le",V017,QMYF48180551802495,INV-73409,2026-05-04,2026-06-18,4558,13,59254,10665.72,45,Procurement,Catherine Snyder,0,0,45,0,40746,1
"Morrow, Robertson and Lynch",V025,KMTQ04229097916413,INV-69933,2026-02-03,2026-03-05,3051,6,18306,3295.08,30,HR,Michael Cooper,0,0,30,0,81694,1
"Cruz, Green and Flynn",V040,BPCQ57944211727805,INV-50296,2025-09-27,2025-11-26,3494,13,45422,8175.96,60,HR,Bobby Ortiz,0,0,60,1,54578,1
Cherry-Stewart,V018,WNXB87839949279305,INV-31383,2026-02-19,2026-04-20,335,15,5025,904.5,60,IT,Ashley Sawyer,0,0,60,0,94975,1
Roberts-Hunt,V037,FBNH04507926470012,INV-26765,2025-10-13,2025-11-12,4749,12,56988,10257.84,30,Operations,Brandon Collins,0,0,30,0,43012,1
Hull-Hernandez,V041,LPAE19110660920118,INV-74331,2025-10-16,2025-10-31,2383,7,16681,3002.58,15,Procurement,John Livingston,0,0,15,0,83319,1
Torres and Sons,V020,CQBR31583942377273,INV-93548,2025-11-28,2025-12-28,1977,15,29655,5337.9,30,Operations,Jennifer Russo,0,0,30,0,70345,1
Martin-Matthews,V010,YXJY85918297698767,INV-15997,2026-01-08,2026-02-22,891,13,11583,2084.94,45,IT,Margaret Jacobs,0,0,45,0,88417,1
Ramos-Brown,V034,KNHJ29011711030089,INV-40189,2026-03-06,2026-04-20,4054,12,48648,8756.64,45,IT,Caitlin Graves,0,0,45,0,51352,1
"Robbins, Hughes and Johnson",V006,QAAM94793594819292,INV-13725,2026-03-03,2026-04-02,3019,20,60380,10868.4,30,Operations,Oscar Hill,0,0,30,0,39620,1
